Reviewer name,Review date,Review content
Sasank Siddhartha Vutti,2026-02-15,Never even received my parcel
Chang,2026-01-12,First Online Purchase and J&T Express Screwed It Up
FT FT,2025-12-17,Return what belongs to pepple
anthony Max,2025-12-02,Improper behavior in Watson Suntec store
Ivy Yeo,2025-10-26,Watson @ Jem
Ann,2025-10-25,Watson always have good promotion…
vang,2025-09-23,Invasive promoter affecting shopping experience.
SL,2025-08-25,New Watson’s pantyliner (bad quality)
Susan Chia,2025-06-30,Happy and not so Happy Shopping Experiences
Rina,2025-06-13,Had ordered before and it was good
GCY,2025-06-04,The worst online shopping experience
Darren Choo,2025-05-04,Cannot use the $2 voucher (even though…
S,2025-04-21,Watsons gift card is hard to use
Gerald Chang,2025-04-07,Horrid service
Clarence Toh,2025-03-19,Damn bad experience w customer service
K Lee,2025-03-14,"Delayed deliveries for multiple orders, unprofessional marketing/sales initiatives"
Weiqing,2025-02-27,Poor delivery and customer service
Marta,2025-02-17,Delivery of simple product takes 20 days!
Мария Васина,2025-02-13,Where is my order??
Thandar,2025-02-13,Poor Delivery and Customer Support: A Frustrating Experience
Dion,2025-02-13,Unacceptable Delay & Poor Customer Service – Where Is My Order?
Andrew,2025-02-10,Appalling just appalling
Erica,2025-01-18,stupid online shopping interface…
Joa Wang,2024-12-24,"Hi Watsons Management,"
Gwendaline Wu,2024-12-19,Great service at Watsons Northpoint
Xing An,2024-12-16,Helpful
Alan,2024-11-04,Beware Watsons Delivery - Dump & Run
Yulie,2024-10-29,Customer Service is just...not easy to communicate.
Sophia,2024-09-13,Please check all your items in Detail upon delivery
Nat Yeo,2024-09-13,Scam
Thaddaeus Stanley Ho,2024-05-05,Watson 3 hours express delivery is not reliable
VAL,2024-02-18,Not a good experience
Carol Chua,2024-02-12,I wish to compliment one of your staffs…
TAN LAY HENG,2024-01-15,vry Bad service!!
Fzhale BTE,2024-01-03,Nancy Of All Time
Stella Tam,2023-12-25,Excellence service & help by Harinraj
Laysee,2023-12-13,Watson cancelled my online order
Mui,2023-12-02,Excellent Service
Celeste Tan,2023-11-18,I purchase 9items online
Pennick,2023-11-18,Bad customer service
Belma Llovido,2023-11-14,i like shopping at westmall watsons…
Shahan Yusof,2023-09-14,Promoters at Watson Nex Serangoon have…
Lay Kim,2023-09-10,Good Work Performance
SL,2023-09-07,Customer service is horrible
Sabrina,2023-08-30,Kind and Professional Pharmacist
LiyaNaa YaNaa,2023-08-24,I would like to compliment one of your…
Jean Wee,2023-07-21,I visited Watson outlet at PLQ…
Wendy,2023-07-15,Stopped trying sample at Bishan street 22 outlet
Puritify Life,2023-07-02,Bad experience with counter customer service
Ling Hui Lie,2023-06-27,Horrible horrible online shopping…
Kv Godha,2023-06-24,Disappointing
Wang Lai Meng,2023-05-05,Nightmare Return and Refund Experience
Roseeta B.,2023-04-28,"Why most of the watsons staff rude towards suppliers , vendors & merchandisers?"
Janet,2023-04-21,That day I went to Watson at Paya Lebar…
Carol,2023-03-20,Bugis Watsons
Evelyn Foo,2023-02-17,Watson shower gel mint and disposable panties
Lmc,2023-02-06,Terrible watson singapore online
Andy Andy,2023-01-16,Don't buy from the online shop it is…
adora marayag,2023-01-15,Dear Watsons Northpoint
Nancy Chee,2023-01-13,"Past few week ago,I went to vivo city…"
Vincent Lim Meng Kit,2022-12-26,I would like to compliment the…
SIMON LAM,2022-11-13,I am writing to inform you of my…
Tisna,2022-10-25,Staff Huda fm bugis is excellent
prema ps,2022-10-13,I visited the branch at Jurong Point
Angie,2022-08-07,I wish I could give a negative 1 star…
Sone Tofu,2022-06-22,Zero Star
Carmen San,2022-06-18,Extremely Terrible Online Service
Lim,2022-05-23,Horrible horrible horrible Customer…
Yy,2022-04-27,If there is a zero star
ET,2022-03-31,Do Not order with Watson online
Baey Song Chin,2022-03-17,Online experience sucks big time
Doris Tan,2022-03-02,I am disappointed with the online…
Charlotte,2022-02-16,I made a purchase from watson online on…
Chingyee Teo,2021-12-27,Horrible service online
Yap,2021-12-08,Never purchase from their online store
Low Zheng Yong,2021-11-09,I enjoy shopping at Watsons due to…
Mz,2021-11-06,Very bad. They do not care about delivery times
Brendan,2021-09-25,I am absolutely disappointed with the…
Raymond Concorde,2021-09-21,VERY BAD EXPERIENCE.
Cynthia Tan,2021-09-07,Very bad experience & disappointef…
AW,2021-08-28,Shop Watsons online at your own risk
WYP,2021-08-27,horrible online shopping experience
manimala sovi,2021-08-25,Great work Watsons!
Fong Tian,2021-08-13,Thank you the Malay cashier at Suntec…
Koon Ming,2021-08-10,Thank You to the Watsons Hougang Mall Staff
Siti Aisha,2021-08-03,I will like to comment your staff May Kee (Watson Tampines)
Unhappy customer,2021-07-01,My online shopping experience with Watson has been horrible and unfair…
Wendy Ker,2021-06-06,Worst Online Shopping Experience
Dollop Bakes,2021-06-05,Slow Unfair Refund Policy/Process
Gary B,2021-05-18,The click and collect option is a joke
Halijah Darus,2021-05-13,"Watson Lucky Plaza,"
May,2021-02-28,Worst customer service in Singapore
Monica Wong,2021-02-16,I am a regular customer at Watsons
EL TW,2021-02-07,Bad Refund Policy and Customer Service
Helen Heng,2020-11-26,I had a very good experience today
Maureen Henry,2020-11-05,I'm very unhappy with watsons customer service.
Siew Deng,2020-10-05,on 3rd oct 20 i went to your store at…
Yve,2020-09-17,I am amazed at their Customer Service....NOT…
New purchaser,2020-09-13,Super poor experience with Watsons…
Dawn Koo,2020-09-06,Worst customer post sales service…
